source_id,citation,doi,sha256_or_NA,verified_status,setback_use,damage_state_use,debris_use,prohibited_use,transfer_status,notes
S015_MOYA,"Moya L., Mas E., Yamazaki F., Liu W., Koshimura S. (2020) Statistical analysis of earthquake debris extent from wood-frame buildings and its use in road networks in Japan. Earthquake Spectra 36(1) 209-231.",10.1177/8755293019892423,f813df0899dfc89c9fb545983298a33614d852fb34bc0f3e49fd1526788cb6b4,A1_VERIFIED,setback は変数として計測されていない（M-07）。D の基準線が建物 footprint であることのみを用いる,damage_state は供給しない。式は全て倒壊を条件とする条件付き量（M-08）,"中核。Eq.7 P[D=0|h,collapse]=1.5e^(-0.43h) が debris_present を条件付き確率として与える。extent は Eq.2/3（mu_h=0.31h+1.10, sigma=1.11, n=738）",damage_state 生成器としての利用／Eq.7 を bool として利用／mu_h を全倒壊建物の確定値として利用／撤回済み重複 DOI 10.1177/87552930241232908 の使用,ADAPT,益城町の戸建て木造 851 棟（うち D>0 が 738）。隣接建物に瓦礫拡散を妨げられた事例は較正から除外されており、京町家の連担はその除外側にあたる
S016_YUGA,"Yu Y.-C., Gardoni P. (2022) Predicting road blockage due to building damage following earthquakes. Reliability Engineering and System Safety 219, 108220.",10.1016/j.ress.2021.108220,a78f77e2b02cd41fa103b8cf2082367cd03ac8c655a708a36887e15eed0c190f,A1_VERIFIED,delta_q（建物 edge から対象車線までの道路要素幅の合計、Y-06）を離隔の明示例として引く。対象面が車線であることを必ず併記,EMS 損傷等級 → HAZUS 5 段 DS の写像（Table 1）と、確率で重み付けした積み上げ（Eq.17）の型のみ,"Eq.9 D_e,q = max(D_b,q - delta_q, 0)。瓦礫距離から通行対象面へ届いた分を取り出す差分演算の型","ハイチ pre-code C3 の後験値（theta, sigma）・HAZUS 曲線の移植／E=3.5m を歩行者・車いす所要幅に読み替えること／delta_q をそのまま AblePath の setback とすること",STRUCTURE_ONLY,2010 ハイチ地震 Port-au-Prince、174 損傷建物、全て pre-code C3。歩道は通行空間ではなく瓦礫の受け皿として扱われており、AblePath とは意味が反転する
S017_ANELLI,"Anelli A., Mori F., Vona M. (2020) Fragility Curves of the Urban Road Network Based on the Debris Distributions of Interfering Buildings. Applied Sciences 10(4):1289.",10.3390/app10041289,d00552369dfcc22795c1018b2ab1972bf3a09650497e076dacb011e7f1aded53,A1_VERIFIED,断面を建物面基準の幅の分解（w_bb / w_r / w_br / w_d / w_fr）として示す説明図式。w_bb は向かい建物間距離であって片側 setback ではない（A-03）,damage_state は扱わない。DF（修復費/再建費）閾値による限界状態のみ,"w_d は初期幅 a を超過した分（A-04）。w_d,2=w_d,5=0 が瓦礫幅ゼロを機構として持つ第二の根拠。Eq.10 の左右独立差し引きは AblePath の残存幅式と同型","3.50m 閾値を歩行者・車いすに適用すること／epsilon・w_d 式を日本木造に適用すること／Amatrice 実測断面値（w_r=5.50, w_br=1.00, w_bb=7.50）を京都・藤沢の値とすること",PRESENTATION_ONLY,Amatrice Corso Umberto I、組積造 100 棟＋RC 3 棟。幾何モデル（epsilon は中部イタリア組積造由来）であって実測較正ではない。w_fr は歩道が瓦礫に消費される前提で、歩行空間の残存幅を出力しない
S018_SORRE,"Sorrentino L., Giresini L. (2024) Risk Assessment of Road Blockage after Earthquakes. Buildings 14(4):984.",10.3390/buildings14040984,521b3dda66d6433a950f816248c2a6fb98bb3bca3a4633f56100e3996808f33e,A1_VERIFIED,Eq.1 (h_b1+h_b2)/w >= 1.0 の干渉条件と、w に建物の後退位置を算入せよという指示（S-05）。ただし w は路面幅であって walkable corridor ではない,fragility は DS4（very heavy damage）の経験曲線を用い、確率を確率のまま MAF へ積分する（Eq.6-8）。状態を確定させない,瓦礫幅を計算しない。閉塞確率＝建物被害確率と置く簡略化を明示（S-04）。debris_extent の供給源ではない,Eq.1 の 1.0 を通行可否閾値として実装すること／閉塞確率＝被害確率の簡略化を残存幅計算に持ち込むこと／本論文の経路リスク結果を AblePath の経路安全性主張とすること,REJECT,Amatrice（伊）。fragility は Zucconi ら（組積造）・Del Gaudio ら（RC）の伊類型分類依存。歩行者・車いすに関する記述は本文中に存在しない
S019_KAMEI,亀井千尋・花岡和聖・中谷友樹（2009）震災時の道路閉塞状況からみた文化財の危険度評価—建物の建築年代・建築構造に着目したシミュレーション—。GIS-理論と応用 17(1) 73-82.,10.5638/thagis.17.73,a2e704c224898f24bd4a04aca63b194ac68973b0016c2d3a8e8fc66a8b6e4b18,A1_VERIFIED,反例としてのみ。中心線切断規則は幅の差し引きではなく離散判定であり、原著自身が広幅員での過大評価を自認する（K-04）,京都における確率→実現化の先行例（PGV→全壊率→モンテカルロで全壊/被害なし、K-03）。属性は精度 76% の推定値,"等方バッファ（瓦礫流出幅 H/B, B=4）は幅を出力しない。debris_extent の供給源ではない（CT-4）",2009 年の全壊率 23.50% ／閉塞率 35% ／文化財到達率 8% を現在の回廊の値として引くこと／中心線切断規則を M7 の残存幅計算に用いること,PRESENTATION_ONLY,"京都市（旧京北町を除く）建物ポリゴン 524,523 件、2005 年土地利用現況調査・2007 年京都市第3次被害想定。京都という地理は一致するが年次が古く、離隔を扱っていない。B=4 は神戸の実態調査との比較で選ばれた仮定値"
S020_YAMADA,"Yamada M., Ohmura J., Goto H. (2017) Wooden Building Damage Analysis in Mashiki Town for the 2016 Kumamoto Earthquakes on April 14 and 16. Earthquake Spectra 33(4) 1555-1572.",10.1193/090816EQS144M,ad4ffd3521a4a1532a2bfd941430cb17eeca2ee98537765141a0df2e41c746f7,A1_VERIFIED,使用しない（setback を扱わない）,"中核。D0/D1-D3/D4/D5 の 4 区分（p.1560）、航空写真と現地調査の誤差行列（Table 1, p.1563）、D4 は上空から検出困難で全壊棟数が約半分になる（p.1569, p.1571）",使用しない（瓦礫幅を扱わない）,建築年代のみから damage_state を決定論的に割り当てること／航空写真判読の被害区分を現地調査相当として扱うこと／collapse ratio 40%・28/9/2% を京都・藤沢の値として引くこと,PRESENTATION_ONLY,"2016 熊本地震・益城町中心部の木造建物。現地調査 1,114 棟（うち非木造 73 棟を除外）、写真と現地の照合対象 1,041 棟。damage heterogeneity は建築年代のみでは説明できず、局所地盤条件と建物耐震性能の組み合わせに帰される"
S021_NAITO,"Naito S., Tomozawa H., Tsuchiya M., Nakamura H., Fujiwara H. (2024) Improving the Accuracy of Building Damage Estimation Model Due to Earthquake Using 10 Explanatory Variables. Journal of Disaster Research 19(5) 780-792.",10.20965/jdr.2024.p0780,2cf08ca41958e558c4584666e804f75533d66cd68c53e9db29b8c7a7a25bbe52,A1_VERIFIED,使用しない（setback を扱わない）,"中核（排除論拠として）。3 区分（No damage / Damaged / Collapsed）と D0-D6 の対応表（Table 1, p.782）。10 説明変数のうち事後観測（CNN 予測・ブルーシート被覆・地震前後 DSM 差分・テクスチャ解析）が上位重要度を占める",使用しない（瓦礫幅を扱わない）,事前（pre-event）の決定論的 damage_state 割り当てに用いること／Overall Accuracy 81%・平均 F 値 70% を閾値やコード定数に用いること／これらの精度を京都・藤沢の妥当性として引くこと,REJECT,"2016 熊本地震・益城町ほか。学習 31,291 棟／検証 7,981 棟。10 変数時の Collapsed クラス Recall は 0.517 で、1 変数時の 0.641 より低い（Table 6/7）。全体精度の高さが倒壊検出の信頼性を意味しない"
S022_LO,"Lo I.-T., Lin C.-Y., Yang C.-T., Chuang Y.-J., Lin C.-H. (2020) Assessing the Blockage Risk of Disaster-Relief Road for a Large-Scale Earthquake. KSCE Journal of Civil Engineering 24(12) 3820-3834.",10.1007/s12205-020-0340-7,4992ae872bb67dad752160bca0dec13da1cf9e3e6b68ebc56f5c230627a25d8d,A1_VERIFIED,使用しない（幾何・離隔を扱わない）,TELES の 5 damage state（no / minor / moderate / severe / complete damage）と、閉塞に用いるのは complete damage state のみという明示（p.3824）。PGA は intensity measure であって damage state ではない,Eq.2 F_r = 1 - Prod(1 - P_n)：1 棟でも倒壊すれば閉塞とする規則。幅を一切使わない（CT-4）,Eq.2 を M7 の残存幅計算に用いること／PGA 250/400/550/750 Gal のシナリオ結果を京都・藤沢に転用すること／液状化閉塞確率 P_r と建物閉塞確率 F_r の独立仮定をそのまま採用すること,REJECT,台湾・新北市板橋区。TELES の 15 MBT（台湾家屋税データ由来の構造分類）。500m グリッドの最大値を区間代表値とする保守的集約
S023_YANG_ROSA,"Yang C.-T., et al. (2025) Development and Validation of ROSA: A Tool for Post-Earthquake Rescue Road Planning and Risk Assessment. E3S Web of Conferences 653, 02003.",10.1051/e3sconf/202565302003,972a573165a43cebd7e566c5b98d85f21f4e8a5055ef4e79467f9153e666a50a,A1_PARTIAL,setback を Building Debris Width Index の正規の入力として名指しする唯一の source（p.1）。ただし定義も式もない,使用しない（TELES 由来の建物被害推定を参照するのみで、本論文に区分の定義がない）,3 指標の分離（Building Debris Width Index / Affected Segment Ratio Index / Blockage Severity Index）を用語レベルで引く。式は本論文になく Chu et al. 2023 に外部化されている,Building Debris Width Index を実装すること／collapse extent・probability・setback の合成規則を推測で復元すること／花蓮地震での一致を AblePath の妥当性根拠とすること,PRESENTATION_ONLY,台湾（台北市・新北市・花蓮県）。式が本文にないため R-02 は A1_NOT_VERIFIED。参照先 Chu et al. 2023（DOI 10.1177/87552930231194563）は本 worktree に原本がない
S024_OPENQUAKE,"OpenQuake / GEM fragility model documentation (docs.openquake.org/vulnerability/fragility_models.html, and Engine User Guide Fragility Models / Scenario-Based Damage Calculator).",NA,NA,A1_VERIFIED,使用しない（幾何を扱わない）,中核。P(DS >= ds_i | IM) = Phi((ln IM - ln mu_DS_i)/beta_DS_i)。damage state の個数と名称はモデル側の宣言事項であり、fragility は taxonomy 文字列を介して exposure に結び付く。出力は fraction であって個別建物の状態ではない,使用しない（瓦礫を扱わない）,確率分布を凍結実現規則なしに categorical な damage_state へ落とすこと／DAMAGED・COLLAPSED を taxonomy 写像なしに limitStates 語彙と同一視すること,STRUCTURE_ONLY,母集団を持たない形式仕様。版が更新される文書であり、引用は参照した版に固定して読む。ローカル sha256 受領書を持たない
