jurisdiction,source_title,issuer,year/version,source_type,legal_status,scope,profile,attribute,numeric_value,unit,operator,duration_or_length_limit,exception,exact wording,page/section,original_url,evidence_class,transfer_status,AblePath_use,caveat
"Japan","Road Structure Order","Government of Japan / e-Gov","current view dated 2026-07-01","A — LEGAL / REGULATORY REQUIREMENT","Cabinet Order; application and local-ordinance context must be checked per road administrator","sidewalk width under Article 11","facility design; not a person-level profile","clear width","3.5 high pedestrian traffic; 2.0 other roads","m",">=","continuous facility width","Article 11 exceptions and road-class scope apply","三・五メートル以上; 二メートル以上","Article 11(3)","https://laws.e-gov.go.jp/law/345CO0000000320?occasion_date=20260701","A1-NUM","ADAPT","Japanese source-conformance comparator and scope gate","Facility design compliance does not prove individual traversability; local ordinance and designated-road applicability require human/legal confirmation."
"Japan","Ministerial Ordinance No. 116 on road mobility facilitation standards","Ministry of Land, Infrastructure, Transport and Tourism","2006; amendments shown through 2021","A — LEGAL / REGULATORY REQUIREMENT","Reference criteria for local ordinances and direct criteria in specified national-road scope; MLIT says designated-road new construction/alteration is mandatory and other roads are effort-based","sidewalks and pedestrian-only roads","older people and persons with disabilities collectively","running slope; cross slope; surface; curb transition","5 normal / 8 unavoidable; 1 normal / 2 unavoidable; curb transition 2","percent; cm","<=; standard","route segment; no M6 duration mapping","topography or other unavoidable reasons; drainage/paving conditions","五パーセント以下; 八パーセント以下; 一パーセント以下; 二パーセント以下; 二センチメートルを標準","Articles 5, 6, 9","https://www.mlit.go.jp/sogoseisaku/barrierfree/content/001400936.pdf","A1-NUM","ADAPT","Japanese legal/source-conformance layer; attribute vocabulary","The 2 cm curb transition is a design standard serving both wheelchair and visual-detection considerations, not a universal traversability threshold."
"United States","Accessibility Guidelines for Pedestrian Facilities in the Public Right-of-Way (PROWAG)","U.S. Access Board","2023 final guideline","B — TECHNICAL STANDARD","Guideline that becomes enforceable within an adopting agency's scope","pedestrian access routes in public right-of-way","persons with disabilities; manual wheelchairs and other mobility aids discussed in preamble","continuous clear width","1220","mm",">=","continuous","R302.2.1 medians/refuge islands and R302.2.2 shared-use-path rules","48 inches (1220 mm) minimum","R302.2","https://www.access-board.gov/prowag/complete.html","A1-NUM","ADAPT","International source-conformance comparator for remaining_clear_width_m","Not a nationwide person-level PASS threshold and not a Japanese compliance rule."
"United States","Accessibility Guidelines for Pedestrian Facilities in the Public Right-of-Way (PROWAG)","U.S. Access Board","2023 final guideline","B — TECHNICAL STANDARD","Same adoption caveat as PROWAG width row","pedestrian access routes narrower than 1525 mm","wheeled mobility devices collectively","passing width and interval","1525 by 1525; interval 61","mm; m",">= space; <= interval","61 m maximum interval","passing spaces may overlap pedestrian access routes","60 inches (1525 mm) minimum; 200 feet (61 m) maximum","R302.3","https://www.access-board.gov/prowag/complete.html","A1-NUM","ADAPT","Candidate schema for passing-space evidence","Cannot be collapsed into a single edge minimum-width threshold."
"United States","PROWAG adoption status","U.S. Access Board; GSA; U.S. Department of Transportation","2024-2025 adoption actions","A — LEGAL / REGULATORY REQUIREMENT","GSA adopted for its ABA public-right-of-way scope; DOT adopted for covered new/altered transit stops effective 2025-01-17","agency-specific public-right-of-way scopes","not profile-specific","legal status and applicability","","","","effective date 2025-01-17 for DOT rule","scope and construction/alteration triggers differ by adopting agency","adopting PROWAG","Access Board background; 49 CFR 37.9","https://www.access-board.gov/prowag/","A1-CLAIM","STRUCTURE_ONLY","Prevent nationwide-enforceability overclaim","Do not state that the complete guideline is uniformly enforceable for every U.S. sidewalk."
"United States","2010 ADA Standards for Accessible Design","U.S. Department of Justice","2010 Standards","A — LEGAL / REGULATORY REQUIREMENT","Enforceable within ADA Title II/III facility scopes stated by DOJ","accessible-route walking surfaces; not the general PROWAG public-right-of-way rule","accessible-route users collectively","clear width and short constrained length","915 normal; 815 reduced; 610 max reduced length; 1220 separation length and normal width","mm",">= widths; <= reduced length","815 mm segment <=610 mm; separated by >=1220 mm long, >=915 mm wide segments","Sections 403.5.2 and 403.5.3 and other scoped exceptions","36 inches minimum; 32 inches minimum; 24 inches maximum; 48 inches long minimum","403.5.1","https://www.ada.gov/law-and-regs/design-standards/2010-stds/","A1-NUM","ADAPT","Comparator demonstrating that width and constriction length are inseparable","Do not mix 915/815 mm facility rules with PROWAG's 1220 mm pedestrian-access-route rule."
"United Kingdom","Inclusive Mobility: A Guide to Best Practice on Access to Pedestrian and Transport Infrastructure","Department for Transport","December 2021; GOV.UK publication 2022-01-10","C — GOVERNMENT BEST-PRACTICE GUIDANCE","Government guidance, not a statutory width table","footways and footpaths; pedestrian and transport infrastructure","wheelchair and walker passing use cases; not an M6 capability profile","clear width and restricted length","2000 normal; 1500 constrained; 1000 obstacle; 6 max","mm; m",">= widths; <= restriction length","1000 mm only at obstacle and <=6 m","physical constraints and context-specific facility sections","minimum under normal circumstances; minimum acceptable; absolute minimum width; 6 metres","Section 4.2, printed pp. 28-29","https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf","A1-NUM","ADAPT","Government-guidance comparator and short-constriction schema candidate","Not Equality Act numeric law and not proof that every device/person can traverse."
"United Kingdom","Inclusive Mobility: A Guide to Best Practice on Access to Pedestrian and Transport Infrastructure","Department for Transport","December 2021","C — GOVERNMENT BEST-PRACTICE GUIDANCE","Government guidance","anthropometry and manoeuvring discussion","manual; attendant propelled; powered; scooter","device envelope and turning space","occupied-device width 95th percentiles: attendant 658; powered 706; manual 702; scooter 685; 180-degree turn 1600 by 2000 does not cover every large device","mm","descriptive percentile; >= facility-space guidance","not a route-length rule","large powered chairs, scooters, extended leg rests, and attendant combinations can need more space","attendant 658; powered 706; manual 702; scooter 685; may need greater space","Sections 3.3, printed pp. 20-26","https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf","A1-NUM","STRUCTURE_ONLY","Justifies distinct versioned reference-capability profiles","Underlying 1999 wheelchair survey is cited as an unpublished project report; values must not become AblePath hard state boundaries without validation."
"United Kingdom","Inclusive Mobility: A Guide to Best Practice on Access to Pedestrian and Transport Infrastructure","Department for Transport","December 2021","C — GOVERNMENT BEST-PRACTICE GUIDANCE","Government guidance","walking distance and seating guidance","wheelchair; vision impaired; cane/stick; mobility impaired","rest interval and distance","150 wheelchair/vision; 50 cane/stick; 100 mobility impaired without stick; seats 50","m","descriptive average distance; <= seating interval","average distance before rest; seating interval <=50 m","large individual variation; gradient, weather and handrails affect performance","Wheelchair users 150 metres; Vision impaired people 150 metres; Walking stick and cane users 50 metres; Mobility impaired people without a walking stick 100 metres; seating interval <=50 m","Sections 3.4 and 4.5, printed pp. 26-31","https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf","A1-NUM","STRUCTURE_ONLY","Candidate attribute catalogue for rest evidence","Not a person-level FAIL distance; the source explicitly warns of variation."
"United Kingdom","Equality Act 2010","UK Parliament","2010 current legislation","A — LEGAL / REGULATORY REQUIREMENT","Primary legislation","reasonable adjustments and public-sector equality duty","disabled people","legal duty; no geometric threshold","","","","","reasonableness and statutory scope","reasonable adjustments","Sections 20 and 149","https://www.legislation.gov.uk/ukpga/2010/15/contents","A1-CLAIM","STRUCTURE_ONLY","Separate legal duty from DfT technical guidance","Does not enact the DfT 2000/1500/1000 mm values as statutory PASS/FAIL thresholds."
"Canada","CSA/ASC B651:23 Accessible design for the built environment","CSA Group and Accessibility Standards Canada","January 2023","B — TECHNICAL STANDARD","National Standard of Canada; voluntary unless adopted by an authority having jurisdiction","exterior accessible pedestrian routes","wheeled mobility devices; broader disability scope","clear width","1600 general; 1800 high traffic; 1390 adjacent to curb ramp","mm",">=","continuous route; no short-constriction exception identified in 8.2.2","specific adjacent-curb-ramp value","at least 1600 mm; 1800 mm in high-traffic areas; at least 1390 mm","8.2.2, PDF p. 232 / printed p. 225","https://www.csagroup.org/wp-content/uploads/2430328.pdf","A1-NUM","ADAPT","International technical comparator and richer profile-envelope source","Public PDF license permits review but not reproduction; quoted text is minimized. Adoption and local legal effect must be checked."
