demand_id,origin_id,profile_id,count,basis
OFFPEAK,O001,general,800,SYNTHETIC_PLACEHOLDER
OFFPEAK,O001,unfamiliar,300,SYNTHETIC_PLACEHOLDER
OFFPEAK,O001,mobility_assisted_wc,20,SYNTHETIC_PLACEHOLDER
OFFPEAK,O002,general,400,SYNTHETIC_PLACEHOLDER
OFFPEAK,O002,unfamiliar,200,SYNTHETIC_PLACEHOLDER
OFFPEAK,O002,mobility_assisted_wc,10,SYNTHETIC_PLACEHOLDER
OFFPEAK,O003,general,1000,SYNTHETIC_PLACEHOLDER
OFFPEAK,O003,unfamiliar,500,SYNTHETIC_PLACEHOLDER
OFFPEAK,O003,mobility_assisted_wc,30,SYNTHETIC_PLACEHOLDER
PEAK,O001,general,2000,SYNTHETIC_PLACEHOLDER
PEAK,O001,unfamiliar,750,SYNTHETIC_PLACEHOLDER
PEAK,O001,mobility_assisted_wc,50,SYNTHETIC_PLACEHOLDER
PEAK,O002,general,1000,SYNTHETIC_PLACEHOLDER
PEAK,O002,unfamiliar,500,SYNTHETIC_PLACEHOLDER
PEAK,O002,mobility_assisted_wc,25,SYNTHETIC_PLACEHOLDER
PEAK,O003,general,2500,SYNTHETIC_PLACEHOLDER
PEAK,O003,unfamiliar,1250,SYNTHETIC_PLACEHOLDER
PEAK,O003,mobility_assisted_wc,75,SYNTHETIC_PLACEHOLDER
