gap_id,category,required_dataset_or_fact,impact,severity,status,owner,next_action,evidence
GAP-001,storage,raw原本のDropbox保存先と書込手段,DOWNLOADEDおよびSHA固定ができない,BLOCKER,BLOCKED,HUMAN,config/paths.local.tomlをGit外で設定しbinary upload可能な手段を用意,ALL
GAP-002,plateau,PLATEAU京都市2025 CityGML rawとchecksum,公式API metadataだけではrawを正本化できない,HIGH,OPEN,DATA,公式API URLからGit外へ取得し2700713500 bytesとhashを確認,plateau_kyoto_2025_release
GAP-003,plateau,清水回廊を覆うmeshと建築物・道路LOD・地形の実収録範囲,M1候補形状とM7建物高さの適用可否が未確定,BLOCKER,OPEN,DATA,2023 CityGML raw取得後に索引図とmetadataを照合,plateau_kyoto_2023_buildings;plateau_kyoto_2023_roads;plateau_kyoto_2023_terrain
GAP-004,osm,対象回廊のtimestamp固定OSM XML extractとtag completeness,候補グラフ生成を開始できない,BLOCKER,OPEN,DATA,exportまたはOverpass由来をtimestamp付きで取得しOSM attributionを固定,osm_kiyomizu_corridor
GAP-005,evacuation,清水・祇園地域避難誘導計画の現行revisionと公式ルートgeometry,既存計画の成立性検証対象を固定できない,BLOCKER,OPEN,HUMAN,京都市防災危機管理室へ現行版と機械可読経路の有無を確認,kyoto_kiyomizu_gion_evacuation_plan
GAP-006,facility,緊急避難広場の現行一覧・入口・門・災害時開放権限・fire_safe根拠,plazasと運用ゲートを公式に構築できない,BLOCKER,REQUIRES_APPLICATION,HUMAN,京都市と各施設管理者へ照会し回答をprovenance付きで登録,kyoto_return_support_plazas;kyoto_emergency_plaza_capacity_operation
GAP-007,facility,一時滞在施設の入口・開放状態・収容情報,二段階運用を検証できず容量推定が禁止される,HIGH,REQUIRES_APPLICATION,HUMAN,施設別の管理者確認を取得し公開一覧の現行性を照合,kyoto_temporary_stay_facilities
GAP-008,hazard,洪水・内水・土砂・地震layerのmachine-readable geometryと版・CRS,edge overlapを再現可能に計算できない,BLOCKER,OPEN,DATA,公式配布または提供申請の可否を京都市・京都府へ確認,kyoto_web_hazard_flood;kyoto_web_hazard_inland;kyoto_web_hazard_landslide;kyoto_web_hazard_earthquake
GAP-009,hazard,東山区指定区域の公示図書とdesignation IDの回廊照合,土砂区域evidenceをedgeへ結び付けられない,HIGH,OPEN,HUMAN,公示図書を所管窓口で確認し概略Web図だけで境界確定しない,kyoto_pref_landslide_designations
GAP-010,entrance,公園・寺社・トイレ・駅の実入口と門運用,中心点誤接続と通行不能リンクを生む,BLOCKER,OPEN,FIELD,公式施設情報を候補にして現地と管理者確認で入口を登録,plateau_kyoto_2023_related;kyoto_public_toilet_map;kyoto_official_tourism_poi
GAP-011,accessibility,対象回廊POI・トイレ・駅の最新バリアフリー設備と段差・勾配,profile判定の根拠が不足,HIGH,OPEN,FIELD,公式設備情報を取得後に難所を実測しUNKNOWNを保持,kyoto_public_toilets_open_data;kyoto_subway_station_info
GAP-012,hokonavi,ほこナビDPにおける清水対象データの有無,既存公開NWを再利用できるか判断不能,MEDIUM,OPEN,HUMAN,国交省カタログへ対象範囲を照会し旧京都地区データを転用しない,hokonavi_kiyomizu_corridor
