scenario_id,edge_id,state,evidence
NORMAL,E001,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E002,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E003,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E004,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E005,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E006,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E007,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E008,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E009,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E010,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E011,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E012,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E013,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E014,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E015,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E017,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E020,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E021,OPEN,閉塞想定なし（SYNTHETIC）
NORMAL,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E003,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E004,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E006,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E007,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E008,NARROWED,瓦礫想定（SYNTHETIC）
EQ_WEAK,E009,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E010,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E011,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E013,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E014,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E020,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQ_WEAK,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E003,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E004,NARROWED,沿道建物被害想定
EQ_MED,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E006,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E007,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E008,NARROWED,瓦礫想定
EQ_MED,E009,CLOSED,階段部崩落想定
EQ_MED,E010,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E011,OPEN,閉塞想定なし（SYNTHETIC）
