problem_id,gate,problem_class,trigger,likely_symptom,impact,safe_default,first_diagnostic,allowed_resolution,forbidden_resolution,source_type_required,paper_required,human_freeze_required,mechanical_check,owner,status
P01,G5/G6/G8,SOURCE_PROVENANCE_GAP,"raw, URL, revision, SHA-256, license, CRS, or lineage is absent","artifact cannot be traced to an authoritative source or transform","unverifiable hazard, M7, PLATEAU, or facility connection","NOT_CONNECTED / METADATA_ONLY / null+reason","resolve source-to-transform-to-output hash chain","obtain the official original and record source, transform, tool, and output as separate receipt entities","trust by filename or AI summary",PROJECT_CONTRACT+OFFICIAL_DATASET_DOC,FALSE,FALSE,"every source, transform, and output hash resolves",CONTROL,OPEN_SAFE_DEFAULT
P02,G5/G8,CRS_AXIS_ORDER_MISMATCH,"formal EPSG axis is confused with GeoJSON longitude/latitude serialization","bounds fall outside the target AOI or latitude/longitude are reversed","misplaced or invalid hazard/3D geometry",NOT_CONNECTED,"compare source CRS, formal axis, serialization order, AOI bounds, and a control point","record CRS fields separately and validate a versioned transform","accept because coordinates look plausible",OFFICIAL_CRS_DEFINITION,FALSE,FALSE,"control-point, AOI-bound, round-trip, and axis-mutation checks",G5/G8,MONITORED
P03,G5/G8,INVALID_OR_MIXED_GEOMETRY,"invalid, empty, mixed Polygon/MultiPolygon, or mixed 2D/3D geometry appears","validation or rendering differs by feature or platform","silent data loss or false overlap",FEATURE_QUARANTINE,"inventory validity, empties, dimensions, and geometry types","preserve the source and emit a separate repaired artifact with algorithm/version and changed-feature receipt","silently rewrite the source with buffer(0) or equivalent",OFFICIAL_DATASET_DOC,CONDITIONAL,FALSE,"before/after hashes and validity/type counts",G5/G8,MONITORED
P04,G6/UI,FALSE_NETWORK_CONNECTION,"planar intersection or nearest-neighbour joins ignore bridge, tunnel, layer, level, or source-node topology","candidate route crosses a non-existent junction","false path continuity",route_continuity=NOT_ESTABLISHED,"inspect component count and source topology at the suspect junction","retain separate components unless explicit connection evidence exists","connect because lines are visually close",PROJECT_CONTRACT+OFFICIAL_DATASET_DOC,CONDITIONAL,FALSE,"false planar-intersection fixture, layer mutation, component-count regression",G6,CONTROLLED
P05,G6/G7,OSM_ATTRIBUTE_INCOMPLETENESS,"width, slope, surface, kerb, step, wheelchair, or equivalent evidence is missing","missing attributes appear as zero, false, or PASS","unsupported M6/M7 or accessibility assessment",UNKNOWN / NOT_COMPUTED,"produce per-edge completeness and provenance matrix","request a traceable source or field measurement and keep each missing attribute explicit","infer numeric values from OSM road class",OFFICIAL_DATASET_DOC,CONDITIONAL,TRUE,"missing tag never becomes zero, false, PASS, or computed",G6/G7,OPEN_SAFE_DEFAULT
P06,G5,HAZARD_OVERLAP_OVERCLAIM,"a polygon intersection is translated to CLOSED, FAIL, unsafe, or inaccessible","edge state changes after overlap-only analysis","unsupported safety or closure claim",SPATIAL_OVERLAP_ONLY,"compare overlap result with edge-state input/output","report intersecting/touching/overlap length and source feature IDs only","derive closure or FAIL without an official closure or validated vulnerability model",OFFICIAL_DATASET_DOC,CONDITIONAL,TRUE,"overlap mutation cannot change edge state",G5,CONTROLLED
P07,G6/UI,DISTANCE_OR_COST_MISLABEL,"coordinate-degree length is labelled metres, walking distance, cost, or time","UI shows an unsupported metric unit","misleading route comparison",geometry_length_coordinate_degrees,"trace calculation, CRS, algorithm, and displayed unit","introduce a separately validated geodesic/projected metric contract if required","apply an unexplained constant multiplier to degree length",PROJECT_CONTRACT+OFFICIAL_CRS_DEFINITION,CONDITIONAL,TRUE,"unit-label and forbidden-wording regression",G6/UI,CONTROLLED
P08,G6,M7_INPUT_EVIDENCE_GAP,"clear width, nested buildings, setback, damage, debris, variant, closure, hazard status, or per-field provenance is incomplete","structurally callable input is mistaken for evidence-ready input","M7 runs on inferred or silent-default evidence",NOT_COMPUTED+missing_fields+reason,"run frozen structural and evidence readiness checks per selected edge","acquire complete per-field evidence and side-coverage receipts before calling the frozen API","treat empty building lists as evidence without coverage or infer missing values",PROJECT_CONTRACT+ORIGINAL_METHOD_PAPER,CONDITIONAL,TRUE,"structural callable, evidence ready, and computed remain separate",G6,OPEN_SAFE_DEFAULT
P09,G7,LEGAL_STANDARD_VS_TRAVERSABILITY,"a legal or design-standard dimension is used as an individual PASS/CONDITIONAL/FAIL boundary","M6 state table appears production-ready without frozen bindings","legal, safety, or accessibility overclaim",M6_NOT_COMPUTED,"separate legal conformance, technical guidance, empirical evidence, and profile assessment","prepare source-scoped alternatives for human freeze","treat one standard or paper as a universal traversability threshold",OFFICIAL_STANDARD+EMPIRICAL_VALIDATION,TRUE,TRUE,"conformance and profile assessment use separate schemas",G7,HUMAN_GATE
P10,G8,PLATEAU_CITYGML_SEMANTIC_MISMATCH,"LOD, source ID, height/use, road/building relation, or 3D Tiles metadata does not match the official source","tiles render without verifiable semantics or fail after the root","false real-PLATEAU connection",3D_NOT_CONNECTED+2D_FALLBACK,"compare source ID, bounds, LOD, revision, root and child content","bind only verified source fields and keep absent pedestrian attributes UNKNOWN","label a research extension or arbitrary tileset as PLATEAU production data",OFFICIAL_DATASET_DOC+OFFICIAL_STANDARD,CONDITIONAL,FALSE,"stable IDs, bounds, LOD, root/child, fallback, UNKNOWN attributes",G8,OPEN_SAFE_DEFAULT
P11,G8,CORS_REMOTE_TILESET_FAILURE,"root loads but child tile, CORS, expiry, signed URL, or content type fails","3D stalls, errors, or never returns to 2D","unavailable UI or credential leakage",2D_FALLBACK+reason,"check root and child GET, content type, CORS, cache, and expiry separately","use a verified stable official remote or bounded local derivative without committed tokens","commit tokenized URLs or keep a failed 3D mode active",OFFICIAL_DATASET_DOC,FALSE,FALSE,"root-success, child-failure, timeout, CORS, expiry E2E",G8,CONTROLLED
P12,G8,FACILITY_EXISTENCE_OPERATION_CONFUSION,"a facility list entry is interpreted as open, capacitated, accessible, or operational","metadata presence becomes operation=true","unsupported operational or evacuation claim",OFFICIAL_METADATA+UNKNOWN_OPERATION,"inventory which fields come from identity/location versus operation sources","separate identity, location, type, capacity, entrance, hours, fire safety, and accessibility evidence","silent geocoding or infer current operation from existence",OFFICIAL_DATASET_DOC+GOVERNMENT_GUIDANCE,CONDITIONAL,TRUE,"facility existence cannot produce operation=true",G8,OPEN_SAFE_DEFAULT
P13,G5/G8,MULTI_SOURCE_CONFLICT,"OSM, PLATEAU, municipal GIS, or national data disagree by position, attribute, or version","one value silently wins or values are averaged","untraceable authority choice",CONFLICT_STATUS+SOURCE_SEPARATION,"compare authority, scope, valid date, resolution, and method per attribute","record an attribute-level authority matrix and retain conflicting values","choose newest, average, or silently merge without a frozen rule",OFFICIAL_DATASET_DOC,TRUE,TRUE,"conflicting values remain separate until an explicit decision",G5/G8,MONITORED
P14,G5/G6/G8,TEMPORAL_MISMATCH,"OSM snapshot, PLATEAU year, hazard revision, or facility date differ","cross-time layers appear contemporaneous","invalid current-state interpretation",CROSS_TIME_LIMITATION,"inventory valid_at, observed_at, published_at, and accessed_at","display time metadata and require human freeze for any compatibility window","label layers as same-time when time evidence is absent",OFFICIAL_DATASET_DOC,CONDITIONAL,TRUE,"missing time metadata cannot produce same-time wording",CONTROL,OPEN_LIMITATION
P15,ALL_UI,UI_OVERCLAIM_OR_INFORMATION_OVERLOAD,"OFFICIAL, VGI, MODEL, and UNKNOWN are mixed, color-only, or limitations are hidden","users cannot distinguish evidence class or safe default","misleading accessibility/safety interpretation",LAYER_OPT_IN+TABLE_PARITY+PLAIN_CAVEAT,"inspect source badges, UNKNOWN rendering, keyboard path, narrow viewport, and map-free table","separate source, analysis, and uncertainty badges and keep detail in a drawer/table","claim UI validity without target-user validation",PROJECT_CONTRACT+EMPIRICAL_VALIDATION,CONDITIONAL,TRUE,"forbidden wording, keyboard, 320px, table parity, badge and UNKNOWN checks",UI,CONTROLLED
P16,ALL,PAPER_TRANSFER_ERROR,"a value or method from another jurisdiction, profile, vehicle, or hazard is copied without transfer analysis","paper-specific rule appears as AblePath production contract","unsupported threshold, model, or policy",STRUCTURE_ONLY / REJECT,"check context, population, equipment, environment, units, validation, and transfer_status","record caveats and local target-validation plan before any proposal","adopt a paper threshold, weight, state boundary, closure, or safety claim directly",ORIGINAL_METHOD_PAPER+EMPIRICAL_VALIDATION,TRUE,TRUE,"every adopted paper claim has transfer_status and caveat",CONTROL,MONITORED
P17,ALL,RESEARCH_CONTEXT_EXPLOSION,"many PDFs are loaded before a decision question is fixed","important sources, limitations, or provenance are lost in context","unreviewable research-derived change",MAX_3_TO_5_SOURCES_PER_PACKET,"resolve problem ID and decision question against the literature index first","use bibliography index, trigger, exact-page packet, and scope expansion receipt only when necessary","treat bulk reading or an AI summary as evidence",PROJECT_CONTRACT+LITERATURE_INDEX,CONDITIONAL,FALSE,"each decision reverse-resolves to one bounded evidence packet",CONTROL,CONTROLLED
