problem_id,source_id,priority,shortlist_role,why_needed,supported_claim,not_supported,exact_page_section,transfer_status,target_validation_requirement
P01,S005,1,BEST_SOURCE_FOR_DEFINITION,Authoritative PLATEAU product provenance,Use version/source/quality metadata,Local presence or freshness,Chapters 3-8,DIRECT,Record product/version/source date per ingest
P01,S006,2,BEST_SOURCE_FOR_METHOD,Official hazard provenance chain,Preserve river manager/scenario/year semantics,No-flood outside polygon,Content/source/cautions,DIRECT,Compare dataset metadata to provider publication
P01,S023,3,BEST_SOURCE_FOR_VALIDATION,Independent cross-source validation design,Datasets can disagree by collection/definition,Crowd data as ground truth,pp.1-2 and results,ADAPT,Field-check a sample and preserve disagreement
P01,S035,4,BEST_SOURCE_FOR_LIMITATION,Translation compilation boundary,Discovery-only material must be traced to original,Any production claim,Entire document,REJECT,Resolve DOI/original before promotion
P02,S001,1,BEST_SOURCE_FOR_DEFINITION,Normative CRS axis semantics,Axis order is significant,Correctness of a concrete transform,Axis order section,DIRECT,Round-trip known coordinates and assert CRS/axis
P02,S005,2,BEST_SOURCE_FOR_METHOD,PLATEAU CRS/product rules,Read CRS from current product specification,Assume all cities use identical files,Chapter 5 reference systems,DIRECT,Validate declared CRS and sample bounds
P02,S006,3,BEST_SOURCE_FOR_VALIDATION,Official hazard dataset declares JGD2011 B/L,Source CRS is explicit,Axis handling by software,Coordinate-system section,DIRECT,Transform control points and compare official map
P02,S030,4,BEST_SOURCE_FOR_LIMITATION,Fused sources amplify CRS/elevation mismatch,Open-source fusion needs explicit harmonization,That model validates AblePath CRS,Methods,ADAPT,Check horizontal/vertical datum separately
P03,S002,1,BEST_SOURCE_FOR_DEFINITION,Normative geometry families/validity,Validate geometry before spatial ops,Accessibility semantics,Clauses 6-8,DIRECT,Reject/segregate invalid and mixed families
P03,S021,2,BEST_SOURCE_FOR_METHOD,Sidewalk graph construction with QA,Automated geometry needs manual QA,Field truth,pp.5-6,ADAPT,Topology review against imagery/field sample
P03,S022,3,BEST_SOURCE_FOR_VALIDATION,Point-cloud vectorization validation,Vectorization can be measured,Route safety accuracy,pp.497-503,ADAPT,Compare vectors and attributes with surveyed points
P03,S005,4,BEST_SOURCE_FOR_JAPAN_TRANSFER,Japan PLATEAU quality rules,Use product-specific conformance/quality,Universal geometry repair,Chapter 6,DIRECT,Run product conformance plus local GIS checks
P04,S021,1,BEST_SOURCE_FOR_METHOD,Explicit sidewalk/crossing graph workflow,Connectivity requires QA,Universal topology accuracy,pp.5-6,ADAPT,Inspect crossings barriers grade separation
P04,S025,2,BEST_SOURCE_FOR_VALIDATION,Route sensitivity to VGI quality,False/missing links alter route results,Safe route certification,Methods/results,ADAPT,Adversarial tests for disconnected/false-connected edges
P04,S033,3,BEST_SOURCE_FOR_LIMITATION,Image extraction candidate limits,Extracted sidewalks require topology QA,Visual line equals connection,Sections 3-5,ADAPT,Review intersections/overpasses/entrances
P04,S005,4,BEST_SOURCE_FOR_JAPAN_TRANSFER,PLATEAU semantics/topology scope,Use only represented relationships,Pedestrian graph completeness,Chapters 4-6,ADAPT,Crosswalk against authoritative/local network
P05,S024,1,BEST_SOURCE_FOR_DEFINITION,OSM suitability/completeness evidence,Missing tags are unknown not negative,Current Kyoto completeness,Sections 3-5,ADAPT,Compute field-level completeness by area/date
P05,S020,2,BEST_SOURCE_FOR_METHOD,Effective width with obstruction layers,Nominal width differs from bottleneck width,Kyoto correction factor,pp.7-9 Table 4,ADAPT,Measure sampled bottlenecks and obstacles
P05,S023,3,BEST_SOURCE_FOR_VALIDATION,Cross-dataset feature validation,Collection definitions create conflict,Government data perfect truth,Results,ADAPT,Match definitions/timestamps before scoring
P05,S026,4,BEST_SOURCE_FOR_LIMITATION,Participatory audit limits,Crowd labels need provenance/QA,Label as legal finding,Sections 3-6,ADAPT,Double-label and field-check critical items
P06,S006,1,BEST_SOURCE_FOR_DEFINITION,Official flood-layer semantics,Overlap means scenario polygon intersection,Passability or certainty,Cautions,DIRECT,Preserve category/year/source and uncertainty
P06,S016,2,BEST_SOURCE_FOR_METHOD,Probabilistic demand-capacity structure,Network impact requires demand/capacity model,Pedestrian thresholds from Haiti,pp.3-6 Eq.1-2,STRUCTURE_ONLY,Recalibrate inputs and profiles locally
P06,S017,3,BEST_SOURCE_FOR_VALIDATION,Observed-vs-estimated blockage,Even local models retain disagreement,Kyoto accuracy,p.1 and results,ADAPT,Validate against observed events/scenarios
P06,S008,4,BEST_SOURCE_FOR_LIMITATION,Tsunami uncertainty/scope,Model output is not exact traversability,Wheelchair threshold,Section 1.6.4,ADAPT,Keep uncertainty and prohibit safe-route inference
P07,S029,1,BEST_SOURCE_FOR_DEFINITION,Profile-aware cost framing,Cost must be profile/constraint specific,Universal safe route,Sections 2-5,STRUCTURE_ONLY,Label metric units/profile/assumptions
P07,S032,2,BEST_SOURCE_FOR_VALIDATION,Empirical assisted-mobility performance,Device/slope/assistance change travel performance,Production speed constant,pp.6-9,ADAPT,Repeat with target users/devices/routes
P07,S020,3,BEST_SOURCE_FOR_METHOD,Minimum effective width measurement,Cost inputs should use bottleneck condition,Passability boundary,pp.7-9,ADAPT,Field-validate edge aggregation
P07,S009,4,BEST_SOURCE_FOR_LIMITATION,Normative-vs-cost boundary,Design criterion is not observed ability,Rou­ting weight,R302/R407,ADAPT,Keep normative flags separate from empirical cost
P08,S015,1,BEST_SOURCE_FOR_METHOD,Japan debris distribution method,Debris extent is probabilistic and population-specific,Kyoto constants,pp.10-14 Eq.2-3/7,ADAPT,Local building-form/debris validation
P08,S017,2,BEST_SOURCE_FOR_VALIDATION,Japan blockage validation,Input/model mismatch remains measurable,Universal accuracy,p.1/results,ADAPT,Back-test with observed road damage
P08,S018,3,BEST_SOURCE_FOR_JAPAN_TRANSFER,Kyoto precedent,Local scenario lineage exists,Current corridor probability,pp.73-82,ADAPT,Update building/network/source data
P08,S016,4,BEST_SOURCE_FOR_LIMITATION,Haiti transfer counterexample,Structure transfers but coefficients do not,Japanese debris parameters,pp.3-6,STRUCTURE_ONLY,Document population/material mismatch
P09,S011,1,BEST_SOURCE_FOR_DEFINITION,Japan legal/guidance scope,Legal design rule differs from current condition/ability,Pass/fail decision,Official applicability statement,ADAPT,Legal review plus field/empirical layer
P09,S009,2,BEST_SOURCE_FOR_METHOD,Current PROWAG normative comparator,Versioned design criteria can be cited,Japanese law or universal ability,R302/R407,ADAPT,Tag jurisdiction/version/scoping
P09,S032,3,BEST_SOURCE_FOR_VALIDATION,Empirical ability under assistance,Measured performance differs by conditions,Normative compliance,pp.6-9,ADAPT,Test relevant users/devices
