"dataset_id","original_filename","source_sha256","byte_size","mesh_id","dem_class","package_date","horizontal_crs","axis_semantics","vertical_datum","bounds_wgs84","aoi","source_url","issuer","license_url","license_status","aoi_status","validation_result","terrain_connected","limitations"
"gsi_523536_dem1a_20250908","FG-GML-523536-DEM1A-20250908.zip","1e2115ceb62ebc7155006fd750d30b2bd9caa779cd02f7c604fa537d3f46338c","144946744","523536","DEM1A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.75, 34.916666667, 135.875, 35.0]","CANDIDATE:kyoto_kiyomizu_gion; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523545_dem1a_20250908","FG-GML-523545-DEM1A-20250908.zip","6c427b6b2ec65418ba9a0f23f4a07af9e27a421761292c6e17b3e434e82cd338","175184142","523545","DEM1A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.625, 35.0, 135.75, 35.083333333]","CANDIDATE:kyoto_arashiyama; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523546_dem1a_20250908","FG-GML-523546-DEM1A-20250908.zip","968aa88c36f4c1b1b82f49cf0f64815e85d802f15a247fd8c480d8017666883d","152955714","523546","DEM1A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.75, 35.0, 135.875, 35.083333333]","CANDIDATE:kyoto_kiyomizu_gion; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523973_dem1a_20250613","FG-GML-523973-DEM1A-20250613.zip","254e94770789b283fc3e6e0c2c480dba782bde7253bf333dc1857cead9cafdc3","31766113","523973","DEM1A","20250613","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[139.375, 35.291666667, 139.5, 35.333333333]","CANDIDATE:fujisawa_enoshima; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523536_dem5a_20250908","FG-GML-523536-DEM5A-20250908.zip","9669221197f1aa2a5c99bf301098248db1ce0e2e9a40fbc76425b2ce6e350721","6057712","523536","DEM5A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.75, 34.916666667, 135.875, 35.0]","CANDIDATE:kyoto_kiyomizu_gion; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523545_dem5a_20250908","FG-GML-523545-DEM5A-20250908.zip","082e675a7c3a495ba3297790b70f3d97f3a005ce50d34372e8b8a708b3853914","6987364","523545","DEM5A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.625, 35.0, 135.75, 35.083333333]","CANDIDATE:kyoto_arashiyama; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523546_dem5a_20250908","FG-GML-523546-DEM5A-20250908.zip","93f70338fb02a372c12addead0c497c80fb6ce489643a1529e00e935c0afdfb8","6270396","523546","DEM5A","20250908","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.75, 35.0, 135.875, 35.083333333]","CANDIDATE:kyoto_kiyomizu_gion; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523973_dem5a_20250620","FG-GML-523973-DEM5A-20250620.zip","334bb93ea00b778f334729a7c144f04451c1a3c3a4d3b87f4de01522b6c3eb9c","850473","523973","DEM5A","20250620","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[139.375, 35.291666667, 139.5, 35.333333333]","CANDIDATE:fujisawa_enoshima; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523536_dem5b_20250609","FG-GML-523536-DEM5B-20250609.zip","11ca21ed410242b89f5281c50f5a256b7870853f20436a782c2af125cb7f3e9c","69424","523536","DEM5B","20250609","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.775, 34.925, 135.7875, 34.933333333]","CANDIDATE:kyoto_kiyomizu_gion; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
"gsi_523545_dem5b_20250609","FG-GML-523545-DEM5B-20250609.zip","5c6fdfdb5acbdcb5a8980088b5064d335def074a1dc5a4be41c04f9e5f8bd144","1363960","523545","DEM5B","20250609","fguuid:jgd2024.bl","GML formal latitude_longitude; GeoJSON longitude_latitude remains a separate serialization rule","NOT_EXPLICIT_IN_INSPECTED_GML","[135.625, 35.0, 135.7375, 35.066666667]","CANDIDATE:kyoto_arashiyama; AOI_INTERSECTION_PENDING","https://service.gsi.go.jp/kiban/","Geospatial Information Authority of Japan (GSI)","https://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html","LICENSE_REVIEW_REQUIRED","AOI_INTERSECTION_PENDING","CRS_REVIEW_REQUIRED","false","Product existence and tile bounds verified; no accessibility slope, cross-slope, curb, step, or terrain conclusion."
