dataset_id,title,issuing_organization,source_class,source_url,published_or_updated_at,accessed_at,version,download_status,file_name,local_path,sha256,license,format,horizontal_crs,vertical_datum,geographic_coverage,official_status,usable_fields,missing_fields,notes,downloaded_at,file_hash,vertical_crs_or_datum,coordinate_epoch,axis_order,horizontal_unit,vertical_unit,transformation_method
plateau_kyoto_2023_citygml_archive,PLATEAU京都市2023 CityGML archive,国土交通省都市局,OFFICIAL,https://www.geospatial.jp/ckan/dataset/plateau-26100-kyoto-shi-2023,2026-04-09,2026-08-30,2023年度版v3,BLOCKED,,,,PLATEAU Site Policy,ZIP/CityGML,UNKNOWN,UNKNOWN,京都市全域,OFFICIAL_PUBLISHED,resource name;archive size;feature types,archive checksum;corridor meshes;coordinate metadata,2.7GB archiveはDropbox local configとbinary upload手段がなく未取得,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2023_buildings,PLATEAU京都市2023建築物,国土交通省都市局,OFFICIAL,https://www.geospatial.jp/ckan/dataset/plateau-26100-kyoto-shi-2023,2026-04-09,2026-08-30,2023年度版v3,METADATA_ONLY,,,,PLATEAU Site Policy,CityGML/3D Tiles,UNKNOWN,UNKNOWN,京都市全域・回廊mesh未確認,OFFICIAL_PUBLISHED,bldg;LOD1/2/3 availability,height completeness;corridor coverage;object IDs,建物高さ候補はraw取得後に欠損とLODを確認する,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2023_roads,PLATEAU京都市2023道路,国土交通省都市局,OFFICIAL,https://www.geospatial.jp/ckan/dataset/plateau-26100-kyoto-shi-2023,2026-04-09,2026-08-30,2023年度版v3,METADATA_ONLY,,,,PLATEAU Site Policy,CityGML/3D Tiles/MVT,UNKNOWN,UNKNOWN,京都市全域・LOD3限定範囲,OFFICIAL_PUBLISHED,tran;LOD1/3 availability,walkway geometry;corridor coverage;entrances,候補形状参照のみで京都市道路台帳平面図を取り込まない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2023_terrain,PLATEAU京都市2023地形,国土交通省都市局,OFFICIAL,https://www.geospatial.jp/ckan/dataset/plateau-26100-kyoto-shi-2023,2026-04-09,2026-08-30,2023年度版v3,METADATA_ONLY,,,,PLATEAU Site Policy,CityGML/terrain tiles,UNKNOWN,UNKNOWN,京都市全域,OFFICIAL_PUBLISHED,dem availability,vertical reference;corridor resolution;walkway-grade suitability,地形は候補生成用で歩道勾配の確定値にしない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2023_3dtiles_mvt,PLATEAU京都市2023配信3D Tiles MVT,国土交通省都市局,OFFICIAL,https://docs.plateauview.mlit.go.jp/datasets/3d-tiles/,UNKNOWN,2026-08-30,2023年度版v3,METADATA_ONLY,,,,PLATEAU Site Policy,3D Tiles/MVT,UNKNOWN,UNKNOWN,京都市全域・layer範囲未確認,OFFICIAL_PUBLISHED,delivery metadata;layer IDs,Kyoto endpoint;service lifetime;coordinate metadata,試験配信でありCityGML原本の代替正本にしない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2023_related,PLATEAU京都市2023関連GeoJSON,国土交通省都市局,OFFICIAL,https://www.geospatial.jp/ckan/dataset/plateau-26100-kyoto-shi-2023,2026-04-09,2026-08-30,2023年度版v3,METADATA_ONLY,,,,PLATEAU Site Policy,ZIP/GeoJSON,UNKNOWN,UNKNOWN,京都市全域,OFFICIAL_PUBLISHED,shelter;landmark;station;park;railway;emergency route,update dates;entrances;operation;capacity,公園中心点を入口とせず運用属性は京都市原典で確認する,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
plateau_kyoto_2025_release,PLATEAU京都市2025 CityGML,国土交通省都市局,OFFICIAL,https://assets.cms.plateau.reearth.io/assets/c8/4c6540-2bcf-4773-b21d-74ad2d9f1ba1/26100_kyoto-shi_city_2025_citygml_1_op.zip,UNKNOWN,2026-08-30,2025年度版spec 5.0,METADATA_ONLY,,,,PLATEAU Site Policy,ZIP/CityGML,UNKNOWN,UNKNOWN,京都市全域,OFFICIAL_PUBLISHED,city_code=26100;spec=5.0;file_size=2700713500;feature_types,archive checksum;corridor meshes;coordinate metadata,PLATEAU公式APIでURLと2700713500 bytesを確認したがrawは未取得,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
osm_kiyomizu_corridor,OpenStreetMap清水祇園候補回廊,OpenStreetMap contributors,VGI,https://www.openstreetmap.org/export#map=16/34.9990/135.7815,UNKNOWN,2026-08-30,current snapshot not frozen,METADATA_ONLY,,,,ODbL 1.0,OSM XML,EPSG:4326,UNKNOWN,八坂神社前・円山公園・ねねの道・二年坂・産寧坂・清水坂入口,VGI_NON_OFFICIAL,ways;nodes;highway;steps;surface;access;entrance,PBF;extract timestamp;replication sequence;tag completeness;field verification,VGI候補でありPASSや公式扱いにせず全接続を現地確認する,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_kiyomizu_gion_evacuation_plan,清水・祇園地域避難誘導計画,京都市行財政局防災危機管理室,OFFICIAL,https://www.city.kyoto.lg.jp/digitalbook/page/0000000055.html,2017-12-14,2026-08-30,公開ページ版・計画策定2013,METADATA_ONLY,,,,京都市ウェブサイト利用規約,Digital book/PDF,UNKNOWN,UNKNOWN,清水・祇園地域,OFFICIAL_PUBLISHED,plan title;scope;outline,current revision;route geometry;operation,古い資料を現行版と断定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_return_support_plazas,京都市帰宅支援サイト緊急避難広場,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousai.city.kyoto.lg.jp/kitakushien/about,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市ウェブサイト利用規約,HTML,UNKNOWN,UNKNOWN,京都市・清水祇園を含む,OFFICIAL_PUBLISHED,facility category;purpose,complete list;coordinates;entrances;opening;revision,観光客向け広場と法定指定緊急避難場所を混同しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
