claim_id,topic,source,page_or_section,equation,source_fact,gpt_interpretation,claude_interpretation,agreement_status,recommended_ablepath_use,prohibited_use,transfer_status,production_freeze_required
SB-01,setback,"Anelli, Mori & Vona 2020 (10.3390/app10041289)",p.4 Section 2 Step 1,NA,道路断面は w_r（車道舗装幅の平均）・w_br（歩道幅の平均）・w_bb（向かい合う干渉建物間の平均距離）に分解される。片側の建物-車道縁距離は独立変数として定義されず、w_bb と w_r・w_br の差から導かれる従属量である。,RESEARCH_LEDGER §3 は setback S を『歩行空間までの後退距離』として独立入力に置き、Anelli の断面分解を残存幅式の型として援用した。,断面分解の型は一致するが、Anelli が独立に測っているのは w_bb であって片側 setback ではない。S を独立入力にするという設計判断は Anelli から導けない。ただし『基準線は建物面である』という点は一致しており、中心線 proxy の否定には使える。,AGREE_WITH_NARROWING,断面を建物面基準で分解するという説明図式。中心線・重心 proxy を退ける文献的裏づけ。,w_r=5.50 / w_br=1.00 / w_bb=7.50 という Amatrice 実測値を京都・藤沢の断面値として用いること。w_bb を片側 setback と同一視すること。,PRESENTATION_ONLY,true
SB-02,setback,"Anelli, Mori & Vona 2020",p.7 Eq.(10)（p.5 に重複組版）,"w_fr = w_bb - max(w_br1; |w_br1 - w_d1,i|) - max(w_br2; |w_br2 - w_d2,j|)",残存自由幅は向かい建物間距離から、左右それぞれ『歩道幅と瓦礫侵入量の大きい方』を引いて得る。歩道は瓦礫に消費される前提であり、歩行空間の残存幅は出力されない。,"AblePath の remaining_clear_width_m = max(W_clear - I_L - I_R, 0) を Anelli Eq.(10) と同型として説明した。",左右独立差し引きという代数構造は同型だが、意味は反転している。Anelli では歩道が最初に失われ、AblePath では歩道こそ守る対象である。同型性の主張には必ずこの反転を併記しなければならない。,AGREE_WITH_NARROWING,左右独立差し引きの型の説明（反転の併記を必須とする）。,Eq.(10) をそのまま歩行空間の残存幅式として実装すること。w_br を歩行空間幅として読むこと。,PRESENTATION_ONLY,true
SB-03,setback,"Anelli, Mori & Vona 2020",p.3 Introduction; p.7 Eq.(11); p.9 Eq.(14),w_dr >= w_r - 3.50 ; P(w_fr >= 3.50|IM) = 1 - P(w_dr >= w_r - 3.50|IM),3.50 m は緊急車両（emergency vehicles）が車道舗装（road pavement）を通過できるかの閾値である。歩行者・車いすの閾値ではない。,契約 §3 が『3.50 m を wheelchair/person profile に用いない』と明記しており、既存文書はこれを守っている。,契約の禁止は原著の記述と完全に一致する。追加で、Yu & Gardoni の E=3.5 m と Anelli の 3.50 m は別々の source の別々の量であり、一致は偶然である旨を記録すべきである。,AGREE,閾値が profile 依存であることの説明。,3.50 m を歩行者・車いすの所要幅として用いること。Yu & Gardoni の E=3.5 m と同一視すること。,REJECT,false
SB-04,setback,Sorrentino & Giresini 2024 (10.3390/buildings14040984),"p.5 Section 3.1, Eq.(1) 及び直後",(h_b1 + h_b2)/w >= 1.0,干渉条件は左右建物の軒高の和と path の幅 w の比で定義される。w の値には『建物の後退位置（recessed position）を算入すべきであり、それは経路にとって有利である』と明示される。,既存文書（契約 §3・SETBACK packet §3.1）は『歩行空間の縁を相手側に取る source は 1 本もない』と結論した。Sorrentino は §9 の禁止側にのみ現れる。,その結論は維持されるが、GPT 側は Sorrentino が後退を明示的に扱っていることを見落としている（OMISSION）。これは AblePath の setback の方向性を支持する唯一の明示的指示であり、支持証拠として記録すべきである。ただし w は path の幅であって歩行空間の縁ではなく、後退量の測り方も与えられないため S の定義の供給ではない。,GPT_OMISSION,『後退を幅に算入する』という方向性の先行例として引く。,Eq.(1) の 1.0 を AblePath の閾値として実装すること。path safety の結論を AblePath の経路安全性主張とすること。,PRESENTATION_ONLY,true
SB-05,setback,Sorrentino & Giresini 2024,p.5 Section 3.1,NA,本手法は瓦礫幅を計算せず、『建物被害の確率をそのまま道路閉塞の確率とする』簡略化を採る（Lo et al. に倣う）。fragility は DS4（very heavy damage）の経験曲線で、確率は確率のまま MAF へ積分される（Eq.6-8）。幾何モデルの限界（道路設計を無視／確率分布を恣意的に仮定）も自認する。,契約 §3 は Sorrentino を『multiple interfering elements と経路閉塞リスク構造』として use に置いた。,その use は S-01（直列系合成）については支持されるが、契約は『瓦礫幅を計算しない簡略化』を記していない。この簡略化を持ち込むと全ての DS4 建物が閉塞として数えられ、AblePath の残存幅モデルは無意味になる。契約の記述は不完全であり、補正が必要。,GPT_OMISSION,干渉要素の直列系合成という構造の説明。実務が簡略化を選ぶ場合の比較軸。,閉塞確率＝建物被害確率という置換を AblePath に持ち込むこと。DS4 到達確率を damage_state として使うこと。,REJECT,true
SB-06,setback,Yang et al. 2025 / ROSA (10.1051/e3sconf/202565302003),p.1 Section 1,NA,"Building Debris Width Index は『collapse extent, probability, and setback』から閉塞の深刻度を推定する。式は本論文になく Chu et al. 2023 (10.1177/87552930231194563) に外部化されている。",既存文書に ROSA への言及はない（新規 source）。,setback を瓦礫幅指標の正規入力として名指しする唯一の source であり、AblePath の setback 候補定義を『文献上の先行例がある変数』として位置づけられる。ただし定義・単位・測り方・合成規則はいずれも取得できず、実装根拠にはならない。,NEW_EVIDENCE_SUPPORTS_GPT,『setback は瓦礫幅指標の正規入力である』という用語レベルの先行例。,指標を実装すること。collapse extent・probability・setback の合成規則を推測で復元すること。,PRESENTATION_ONLY,true
SB-07,setback,Yang et al. 2025 / ROSA,p.1 Section 1,NA,3 指標は別次元として定義される: Building Debris Width Index（瓦礫幅）／Affected Segment Ratio Index（区間のうち影響を受ける割合、ブロック形状と区間幾何を考慮）／Blockage Severity Index（ブロック内の集約、footprint 面積で重み付け）。,RESEARCH_LEDGER §3 は『建物の影響投影区間で edge を分割し、各小区間で左右別の最大侵入幅』という集約規則を独自に置いた。,ROSA の Affected Segment Ratio Index は AblePath の『影響投影区間による edge 分割』と同じ問題を扱う先行例であり、GPT 側の設計判断はこの点で孤立していない。ただし ROSA は比率、AblePath は幅であり、量が異なる。,NEW_EVIDENCE_SUPPORTS_GPT,edge 分割・区間集約という設計判断の先行例の提示。,比率指標と幅指標を同一視すること。ブロック単位集約を edge 単位の残存幅に読み替えること。,PRESENTATION_ONLY,true
SB-08,setback,Kamei et al. 2009 (10.5638/thagis.17.73) / Moya et al. 2020,"Kamei p.78 / Moya p.211, p.218, p.224",NA,Kamei: 等方バッファが道路中心線を分断すれば閉塞とする離散判定で、原著自身が広幅員での過大評価を認める。Moya: D の基準線は建物 footprint であり、離隔は変数として計測されていない（唯一の値は応用例の仮定値 1 m）。,既存文書は centerline/centroid proxy を setback として使うことを禁じ、nearest_geometry_distance_m を PROXY_NOT_SETBACK に固定した。,全面的に同意する。加えて、中心線距離を S に使うと S と W_clear が同一量から導かれる循環（W_clear/2 + S 形の分解）が生じるため、禁止は文献の裏づけを超えて代数的にも必要である。,AGREE,中心線・重心・屋根頂点 proxy を退ける文献的裏づけ。,中心線距離・重心距離を setback として M7 に入れること。2009 年の閉塞率を現在の値として引くこと。,REJECT,false
DS-01,damage_state,"Yamada, Ohmura & Goto 2017 (10.1193/090816EQS144M)",p.6（刷り p.1560）,NA,被害区分は Okada & Takai (2000) の被害パターンチャートにより D0（no damage）／D1-D3（partially collapsed）／D4（totally collapsed）／D5（story failure）の 4 区分。D4 は構造要素の重大な損傷（傾斜等）で使用不能、D5 は層崩壊。,DAMAGE_STATE packet は Yamada を『限界の言語化』にのみ用い（PRESENTATION_ONLY）、本文未取得のため A1_NOT_VERIFIED としていた。,本文を取得し A1_VERIFIED とした。区分は D1/D2/D3 を分離しない 4 カテゴリであり、Moya の『倒壊=D5』とも Naito の 3 区分とも異なる。damage state 語彙が source ごとに異なるという契約上の主張の実例である。,AGREE_WITH_NARROWING,damage state 語彙が source 固有であることの実例。,Yamada の 4 区分を AblePath の DAMAGED/COLLAPSED に語彙写像なしで対応づけること。,PRESENTATION_ONLY,true
DS-02,damage_state,"Yamada, Ohmura & Goto 2017",pp.8-9（刷り pp.1562-1563）Table 1; p.15（刷り p.1569）; p.17（刷り p.1571）,NA,"誤差行列（n=1,041）: 写真判読 Collapsed 233 のうち現地 D5 が 202（87%）。一方、現地 D4 の 158 棟のうち写真で Collapsed とされたのは 22 棟（13.9%）にとどまり、136 棟が Standing と判定された。全壊（D4+D5）439 棟のうち写真で検出できたのは 233 棟（約半数）。原著は『航空写真は D5 の同定には適するが D4 の同定は困難』と明記する。",契約は『航空写真だけでは D4 を十分に検出できないという制約を確認せよ』と指示した（未確認のまま）。,制約は原著本文と誤差行列で確認された。さらに強く言える: 偽陰性は全壊の約半数に及び、D4 単独では 86% が見落とされる。したがってリモートセンシング由来の damage_state は『観測』ではなく『検出下限を伴う推定』として provenance に記録しなければならない。,AGREE,damage_state の観測手段ごとの偽陰性を provenance 必須項目とする根拠。,航空写真判読由来の被害区分を現地調査相当の観測値として扱うこと。13.9%/51.0% を京都・藤沢の検出率として引くこと。,STRUCTURE_ONLY,true
