dataset_id,source_file,source_line,name,address,phone,aoi_match_terms,ostomate_detail_available,wheelchair_accessible,accessible_entrance,step_free,opening_status,disaster_availability,latitude,longitude,crs,geometry_status,table_ready,map_ready,classification
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1064,片瀬江ノ島駅（小田急）,藤沢市片瀬海岸2-15-3,,片瀬|片瀬海岸|江ノ島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1066,江ノ島駅（江ノ電）,藤沢市片瀬海岸1-4-7,0466-25-3480,片瀬|片瀬海岸|江ノ島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1067,湘南江の島駅（湘南モノレール）,藤沢市片瀬3-15-1,0466-23-0073,片瀬|江の島|湘南江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1068,目白山下駅（湘南モノレール）,藤沢市片瀬3-2776,なし,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1072,湘南海岸公園駅（江ノ電）,藤沢市片瀬4-9-22,0466-25-3480（江ノ島駅）,片瀬|湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1077,片瀬市民センター,藤沢市片瀬3-9-6,0466-27-2711,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1078,片瀬しおさいセンター（片瀬市民センター分館）,藤沢市片瀬4-9-22,0466-29-6668,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1111,片瀬いきいきサポートセンター,藤沢市片瀬4-9-22　片瀬しおさい荘内,0466-29-5066,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1183,東京ガスライフバル湘南 藤沢店,藤沢市片瀬92,0466-47-7130,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1185,江の島セーリングセンター,藤沢市江の島1-12-2,,江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1196,片瀬山公園,藤沢市片瀬3-2800-1,0466-46-7788（藤沢市まちづくり協会）,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1213,西浜公園,藤沢市片瀬海岸3-1-30,0466-46-7788（藤沢市まちづくり協会）,片瀬|片瀬海岸,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1226,藤沢脳神経外科病院,藤沢市片瀬2-15-36,0466-27-1511,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1234,江ノ島郵便局,藤沢市江の島1-4-13,0466-25-8683,江の島|江ノ島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1235,片瀬郵便局,藤沢市片瀬4-14-10,0466-25-8680,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1247,藤沢片瀬山郵便局,藤沢市片瀬山2-8-8,0466-22-3112,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1265,かながわ信用金庫　片瀬支店,藤沢市片瀬3-17-29,0466-23-5412,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1285,三井住友銀行　藤沢支店・湘南台支店・片瀬山出張所,藤沢市藤沢438-1,[藤沢支店] 0466-26-3411,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1338,ヤオコー　藤沢片瀬店,藤沢市片瀬310-2,0466-55-1611,片瀬,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1345,藤沢市観光センター,藤沢市片瀬海岸2-20-13,0466-22-4141,片瀬|片瀬海岸,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1346,江の島サムエル・コッキング苑,藤沢市江の島2-3-28,0466-23-2444,江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1347,江の島シーキャンドル（江の島展望灯台）,藤沢市江の島2-3-28,0466-23-2444,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1348,江島神社,藤沢市江の島2-3-8,0466-22-4020,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1349,江の島大師,藤沢市江の島2-4-10,0466-50-2111,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1350,湘南港　江の島ヨットハーバー,藤沢市江の島1-12-2,0466-22-2128,江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1351,県立湘南海岸公園　サーフビレッジ,藤沢市鵠沼海岸1-17-3,0466-34-9912,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1354,新江ノ島水族館,藤沢市片瀬海岸2-19-1,0466-29-9960,片瀬|片瀬海岸|江ノ島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1356,龍口寺,神奈川県藤沢市片瀬3-13-37,0466-25-7357,片瀬,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1358,KKR江ノ島ニュー向洋,藤沢市片瀬海岸1-7-23,0466-23-7710,片瀬|片瀬海岸|江ノ島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1359,恵比寿屋,藤沢市江の島1-4-16,0466-22-4105,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1368,江の島公衆便所,藤沢市江の島2-3-11,0466-50-3529,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1369,奥津宮公衆便所,藤沢市江の島2-6-11,0466-50-3529,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1377,片瀬東浜公衆便所,藤沢市片瀬海岸1-15-1,0466-50-3529,片瀬|片瀬海岸,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1378,片瀬江の島公衆便所,藤沢市片瀬海岸1-14-8,0466-50-3529,片瀬|片瀬海岸|江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1379,竜野ヶ岡公衆便所,藤沢市江の島2-5-10,0466-50-3529,江の島,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1380,サムエル・コッキング苑入口トイレ,藤沢市江の島2-3-28,,江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1382,稚児ヶ淵レストハウストイレ,藤沢市江の島2-5-2,,江の島,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1386,弁天橋公衆便所,江の島弁天橋入口,,江の島|弁天橋,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1390,湘南海岸公園内トイレ（1号トイレ）,江ノ電駐車センター横,,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1392,湘南海岸公園内トイレ（2号トイレ）,新江ノ島水族館前,,江ノ島|湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1394,湘南海岸公園内トイレ（4号トイレ）,中部駐車場東側,,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1396,湘南海岸公園内トイレ（5号トイレ）,中部駐車場付属,,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1398,湘南海岸公園内トイレ（6号トイレ）,海風のテラス東側,,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
fujisawa_official_accessibility_facility_table,藤沢バリアフリー施設.txt,1400,湘南海岸公園内トイレ（7号トイレ）,海風のテラス西側,,湘南海岸公園,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_SILENT_GEOCODING,UNKNOWN_NO_SILENT_GEOCODING,NOT_APPLICABLE_ADDRESS_ONLY,ADDRESS_ONLY,true,false,METADATA_ONLY
