scenario_id,edge_id,hazard_type,data_class,hazard_overlap_status,inundation_depth_m,official_closure,operational_rule_status,scenario_state,source_dataset_ids,notes,source_feature_id,stable_feature_id,revision_id,lineage
FLOOD_DESIGN,ARA-E001,FLOOD,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,mlit_katsura_multistage;kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,FLOOD_DESIGN:ARA-E001,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
FLOOD_DESIGN,ARA-E002,FLOOD,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,mlit_katsura_multistage;kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,FLOOD_DESIGN:ARA-E002,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
FLOOD_DESIGN,ARA-E003,FLOOD,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,mlit_katsura_multistage;kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,FLOOD_DESIGN:ARA-E003,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
FLOOD_DESIGN,ARA-E004,FLOOD,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,mlit_katsura_multistage;kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,FLOOD_DESIGN:ARA-E004,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
FLOOD_DESIGN,ARA-E005,FLOOD,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,mlit_katsura_multistage;kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,FLOOD_DESIGN:ARA-E005,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_HEAVY,ARA-E001,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_HEAVY:ARA-E001,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_HEAVY,ARA-E002,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_HEAVY:ARA-E002,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_HEAVY,ARA-E003,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_HEAVY:ARA-E003,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_HEAVY,ARA-E004,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_HEAVY:ARA-E004,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_HEAVY,ARA-E005,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,kyoto_hazard_map_2026,No official geometry or road operation rule acquired,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_HEAVY:ARA-E005,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_NORMAL,ARA-E001,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,,Weather label does not establish road operation,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_NORMAL:ARA-E001,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_NORMAL,ARA-E002,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,,Weather label does not establish road operation,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_NORMAL:ARA-E002,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_NORMAL,ARA-E003,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,,Weather label does not establish road operation,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_NORMAL:ARA-E003,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_NORMAL,ARA-E004,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,,Weather label does not establish road operation,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_NORMAL:ARA-E004,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
RAIN_NORMAL,ARA-E005,RAIN,SYNTHETIC_DEMO,NOT_COMPUTED,,UNKNOWN,UNKNOWN,UNKNOWN,,Weather label does not establish road operation,FIXTURE_ARASHIYAMA_EDGE_STATE_V1,RAIN_NORMAL:ARA-E005,r1,ABLEPATH_DESIGN synthetic scenario-edge matrix
