connection_status,data_class,depth_rank_codes,edge_id,hazard_overlap_status,hazard_capability_status,inundation_depth_m,inundation_depth_reason,official_closure,scenario_state,source_class,official_closure_reason
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000022727319:nodes-000243776548-001215761678,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000022727319:nodes-001215761678-003255952277,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000022727319:nodes-003255952277-003832838076,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000022727319:nodes-003832838076-014102818766,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000022727319:nodes-013805963837-014102818766,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000028640677:nodes-000243776546-004280313263,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405498-003256137075,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405565-011738078383,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405565-011738078384,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405572-011738078382,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405572-011738078383,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405580-000605405585,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405580-011738078381,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405585-012783555045,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405587-000605405589,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405587-012783555045,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-000605405589-003256137075,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584105:nodes-011738078381-011738078382,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584215:nodes-000243776548-001215761721,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584215:nodes-000605415027-000605415029,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
NOT_CONNECTED,MODEL_DERIVED,,kyoto-arashiyama:osm-way-000047584215:nodes-000605415029-000605415031,NO_OVERLAP,NOT_CONNECTED,,A31b category codes are not converted to measured depth,,UNKNOWN,MODEL,The hazard polygon is not an official road-closure record
