dataset_id,title,issuing_organization,record_kind,data_class,source_url,published_or_updated_at,accessed_at,valid_as_of,freshness_status,supersedes_dataset_id,superseded_by_dataset_id,recheck_by,retrieval_etag,retrieval_last_modified,redistribution_status,download_status,format,source_crs,vertical_datum,geographic_coverage,usable_fields,missing_fields,interpretation_limits,artifact_schema_version,spec_reference,license_or_terms,local_path,sha256
plateau_kyoto_2025,PLATEAU京都市2025 CityGML,国土交通省都市局,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://front.geospatial.jp/plateau_portal_site/,2025,2026-08-30,UNKNOWN,CURRENT_UNVERIFIED,,,2026-09-30,,,TERMS_REVIEW_REQUIRED,METADATA_ONLY,CityGML/3D Tiles,UNKNOWN,UNKNOWN,京都市全域,city edition metadata,raw SHA-256; corridor coverage; complete CRS metadata,Metadata does not prove Arashiyama coverage or geometry suitability,1.0.0,CODEX_OVERNIGHT_TASK_V4,TERMS_REVIEW_REQUIRED,,
osm_arashiyama_candidate,OpenStreetMap嵯峨嵐山候補回廊,OpenStreetMap contributors,VGI_METADATA,VGI_METADATA_ONLY,https://www.openstreetmap.org/export,UNKNOWN,2026-08-30,UNKNOWN,CURRENT_UNVERIFIED,,,2026-09-06,,,ODbL_1_0,METADATA_ONLY,OSM XML,EPSG:4326,UNKNOWN,嵯峨嵐山候補回廊,nodes; ways; candidate tags,timestamp-fixed extract; completeness; field verification,Candidate geometry only; never establishes PASS or official operation,1.0.0,CODEX_OVERNIGHT_TASK_V4,ODbL_1_0,,
kyoto_hazard_map_2026,京都市ハザードマップ（洪水・内水・土砂）,京都市行財政局防災危機管理室,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.bousai.city.kyoto.lg.jp/bousai/hazardmap/index.html,2026-06,2026-08-30,2026-06,CURRENT_CONFIRMED,,,2026-12-01,,,KYOTO_SITE_TERMS,METADATA_ONLY,Web GIS,UNKNOWN,UNKNOWN,京都市,hazard layer availability,machine-readable geometry; layer revision; CRS; corridor overlap,Hazard overlap does not imply road closure,1.0.0,CODEX_OVERNIGHT_TASK_V4,KYOTO_SITE_TERMS,,
mlit_katsura_maximum,淀川水系桂川洪水浸水想定区域図（想定最大規模）,国土交通省近畿地方整備局淀川河川事務所,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.kkr.mlit.go.jp/yodogawa/activity/maintenance/possess/sotei/soutei4/index1.html,2017-06-14,2026-08-30,2017-06-14,POSSIBLY_STALE,,,2026-09-30,,,MLIT_SITE_TERMS,METADATA_ONLY,PDF maps,UNKNOWN,UNKNOWN,桂川国管理区間,official scenario name; scope; map index,machine-readable polygons; depth; CRS; supersession check,External flood exposure only; not inland water or an operational rule,1.0.0,CODEX_OVERNIGHT_TASK_V4,MLIT_SITE_TERMS,,
mlit_katsura_multistage,桂川多段階浸水想定図・水害リスクマップ,国土交通省近畿地方整備局淀川河川事務所,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.kkr.mlit.go.jp/yodogawa/activity/maintenance/possess/stage-risk/,UNKNOWN,2026-08-30,UNKNOWN,CURRENT_UNVERIFIED,,,2026-09-30,,,MLIT_SITE_TERMS,METADATA_ONLY,PDF maps,UNKNOWN,UNKNOWN,桂川国管理区間,frequency-layer catalogue; external-flood scope,revision date; raw geometry; CRS; corridor overlap,Does not include inland flooding and does not define road state,1.0.0,CODEX_OVERNIGHT_TASK_V4,MLIT_SITE_TERMS,,
kyoto_saga_arashiyama_plan,嵯峨・嵐山地域帰宅困難観光客避難誘導計画,京都市行財政局防災危機管理室,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.city.kyoto.lg.jp/gyozai/cmsfiles/contents/0000076/76886/keikaku_sagaarashiyama.pdf,2013-12,2026-08-30,2013-12,POSSIBLY_STALE,,,2026-09-06,,,KYOTO_SITE_TERMS,METADATA_ONLY,PDF,UNKNOWN,UNKNOWN,嵯峨・嵐山地域,plan title; historical scope,current revision; route geometry; current facilities and operations,Historical plan is not a current operational road rule,1.0.0,CODEX_OVERNIGHT_TASK_V4,KYOTO_SITE_TERMS,,
kyoto_evacuation_facilities,指定避難所・指定緊急避難場所等一覧,京都市行財政局防災危機管理室,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.bousai.city.kyoto.lg.jp/0000000311.html,2026-08-28,2026-08-30,2026-08-28,CURRENT_CONFIRMED,,,2026-11-30,,,KYOTO_SITE_TERMS,METADATA_ONLY,HTML/PDF,UNKNOWN,UNKNOWN,京都市,facility categories,Arashiyama rows; entrances; capacity; current opening authority,Categories remain separate and unknown operation is not open,1.0.0,CODEX_OVERNIGHT_TASK_V4,KYOTO_SITE_TERMS,,
kyoto_public_toilets,京都市公衆トイレ位置情報等オープンデータ,京都市環境政策局,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://data.city.kyoto.lg.jp/dataset/00307/,2026-03-06,2026-08-30,2026-03-06,CURRENT_CONFIRMED,,,2026-12-01,,,CC_BY_4_0,METADATA_ONLY,XLSX,UNKNOWN,UNKNOWN,京都市,name and location metadata,current rows; entrance geometry; operation; accessibility verification,A representative point is not an entrance,1.0.0,CODEX_OVERNIGHT_TASK_V4,CC_BY_4_0,,
kyoto_official_parks,京都市都市計画公園一覧,京都市都市計画局,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.city.kyoto.lg.jp/tokei/page/0000019414.html,UNKNOWN,2026-08-30,UNKNOWN,CURRENT_UNVERIFIED,,,2026-12-01,,,KYOTO_SITE_TERMS,METADATA_ONLY,HTML,UNKNOWN,UNKNOWN,京都市,park names and planning classification,current feature export; entrances; operation; accessibility evidence,A listed park is not automatically an evacuation facility or verified destination,1.0.0,CODEX_OVERNIGHT_TASK_V4,KYOTO_SITE_TERMS,,
gsi_prcs_vi,平面直角座標系第VI系,国土地理院,OFFICIAL_METADATA,OFFICIAL_METADATA_ONLY,https://www.gsi.go.jp/LAW/heimencho.html,UNKNOWN,2026-08-30,UNKNOWN,CURRENT_CONFIRMED,,,2027-08-30,,,GSI_SITE_TERMS,METADATA_ONLY,HTML,JGD2011,UNKNOWN,京都府,zone VI applicability; axis definition,current geodetic realization selection,Used only for CRS declaration; no source geometry transformed,1.0.0,CODEX_OVERNIGHT_TASK_V4,GSI_SITE_TERMS,,
