paper_id,short_cite,doi_or_id,sha256,file_location,verified_level
P01,Yokoya+ 2024 JAEE 24(3),jaee.24.3_1,d432a24b5346a980beed41fd5619a51fa700551968122b844f0d12a1ce26c9a1,uploads:24_3_1.pdf,A1-NUM
P02,Kamei+ 2009 GIS理論と応用 17(1),thagis.17.73,a2e704c224898f24bd4a04aca63b194ac68973b0016c2d3a8e8fc66a8b6e4b18,uploads:17_73.pdf,A1-NUM
P03,Moya+ 2020 EQ Spectra 36(1),10.1177/8755293019892423,f813df0899dfc89c9fb545983298a33614d852fb34bc0f3e49fd1526788cb6b4,uploads:2020EQS_Moya.pdf,A2
P04,Yu&Gardoni 2022 RESS 219,10.1016/j.ress.2021.108220,a78f77e2b02cd41fa103b8cf2082367cd03ac8c655a708a36887e15eed0c190f,uploads:1s2.0S0951832021006980main.pdf,A1-EQ
P05,Coppola&Marshall 2021 TRR 2675(6),10.1177/0361198121991833,33e57d0afb5ff7ce36863402b39de3f364c0d3d7dd3c1eb1d33c25d9f43b9fe6,uploads:coppolamarshall2021.pdf,A1-NUM
P06,Li+ 2018 TRR 2672(44),10.1177/0361198118757981,164ce740bb1dd13be9a6ce429e982f57184974c578b929330fb5d733862dac5a,uploads:lietal2018.pdf,A1-NUM
P07,Treccani+ 2022 ISPRS XLVI-2/W1,10.5194/isprs-archives-XLVI-2-W1-2022-497-2022,0ac08f0ce4b5d75816183546ea950f597cbce64abf73155c27c03dbfe1bb8b21,uploads:isprs_497(_opt).pdf,A2
P08,Askari+ 2025 Urban Sci 9(130),10.3390/urbansci9040130,58e58f8895c26e1be8ea58469534732136b0d2e2dec0ca08709e4df82895efdb,uploads:urbansci0900130v2.pdf,A1-CLAIM
P09,Saha+ 2019 CHI (Project Sidewalk),10.1145/3290605.3300292,44329027d7eb382e28ae7f38b07820597014f51612f1d9b510511e46b79f1592,MAP論文/各論文/Project Sidewalk_.pdf,A1-NUM
P10,Weld+ 2019 ASSETS,10.1145/3308561.3353798,9267f8e675f7685176713123e93410b387d631345354be027dac74674b598d03,MAP論文/各論文/sidewalk_cv_assets19.pdf,A1-NUM
P11,Ning+ 2022 EPB 49(1),10.1177/2399808321995817,f886c4c39b58dce2a9bdc1a6fc52fe83216aeb83e8ee34271e0e69162126012f,MAP論文/各論文/ning-et-al-2021.pdf,A1-NUM
P12,Hara+ 2014 UIST (Tohme),10.1145/2642918.2647403,ee457d43893a36a492d298c9b2c46ad8f8125456f57c1efc841d8bec62570128,MAP論文/各論文/UIST2014_Tohme.pdf,A1-CLAIM
P13,Meng+ 2025 CEUS 117,10.1016/j.compenvurbsys.2025.102255,08dc0efa9eab9e8cc7b3fbb2bfcee475d8c18ac9692acf7cc2faa8775f68e6ae,MAP論文/各論文/meng25wheelability.pdf,A2
P14,Zhang+ 2024 IJDRS 15,10.1007/s13753-024-00600-7,46ec25026c89388e34da6c127743900eed8b3ead615b7e7953dc46dece0ec915,MAP論文/各論文/s13753-024-00600-7.pdf,A2
P15,Toma-Danila+ 2020 NHESS 20,10.5194/nhess-20-1421-2020,a4bfca713db69a21b60bc8cfce5584dc7f7a1a3eb2d78df420269fa09be660c8,MAP論文/各論文/nhess-20-1421-2020.pdf,A2
P16,Costa+ 2020 EESD 49,10.1002/eqe.3288,6b9d0c1b0f3ffec30c1627eefdc76dc93f1f05b514f88da21d2b405eb6514648,MAP論文/各論文/Earthq...Costa.pdf,A2
P17,Iskandar+ 2023 SIMULATION 100(4),10.1177/00375497231194608,fa8f4195158ced0ad73ac725b530e147f9573eb600711caeaabaf17ce0e46220,MAP論文/３D災害のみ/iskandar-et-al-2023.pdf,A2
P18,Wheeler+ 2020 OGDSS 5:2,10.1186/s40965-020-00075-5,1455d16265b463dbd33f0035cffca1eddee370651308c943437aee5795b95736,MAP論文/各論文/s40965-020-00075-5.pdf,A1-CLAIM
P19,Luaces+ 2021 IJGI 10(1):7,10.3390/ijgi10010007,5acf5859ee406e2011cbf6c8805f8af92307676f327fb8cf4715c3a41c3f7ee7,MAP論文/各論文/Accessible_Routes.pdf,A1-CLAIM
P20,Jehle+ 2024 TR-A 189,10.1016/j.tra.2024.104203,7d08f0b2728161e94968a908fe3acad14f12ca8d6914e4fb36a589aee2354364,MAP論文/各論文/Jehle-et-al-2024.pdf,A1-EQ
P21,Hosseini+ 2024 CEUS 114,10.1016/j.compenvurbsys.2024.102199,56efe118d01450c4dce363c37b83ed86dc837fb29ec198c74abc6f6728354d95,MAP論文/各論文/1-s2.0-S0198971524001285-main.pdf,A1-CLAIM
P22,Ohtsu+ 2020 JAR 3(2) 日本語原著=10.3130/aija.81.1239,10.1002/2475-8876.12140,1d79fa3b9f96b8c82db13be3aa88ba394f7d48e10c0a79219d511e93f2d52720,MAP論文/３D災害のみ/Japan Architectural Review...Ohtsu.pdf,A2
P23,大西+ 2024 都市計画論文集 59(2),cpij.59.251,0c73754989a0fe0195f741372e7fc3f2def5a93b0591ad919c14818883dce24e,MAP論文/３D災害のみ/59_251.pdf,A1-NUM
P24,若狭谷+ 2025 土木学会論文集 81(16),jsce.81.24-16068,89ba006a9f8ff00e643421e11f02365c216cb03a864724246a3bb1b487fefe6e,MAP論文/３D災害のみ/81_24-16068.pdf,A1-CLAIM
