city_id,subarea_id,edge_id,dataset_id,candidate_count,official_height_present,official_height_invalid_sentinel,height_provenance_codes,geometry_derived_height_status,stable_building_id_verified,footprint_verified,lod_present,aoi_coverage_status,usable_as_m7_height_evidence,reason
kyoto_kiyomizu,kiyomizu_gion,KK-OSM-W1251544286-S01,plateau_kyoto_2025_citygml_v5,24,24,0,2:24,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_kiyomizu,kiyomizu_gion,KK-OSM-W1491152444-S01,plateau_kyoto_2025_citygml_v5,15,15,0,2:15,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_kiyomizu,kiyomizu_gion,KK-OSM-W1491152444-S02,plateau_kyoto_2025_citygml_v5,27,27,0,2:27,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_kiyomizu,kiyomizu_gion,KK-OSM-W157527438-S01,plateau_kyoto_2025_citygml_v5,32,32,0,2:32,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_kiyomizu,kiyomizu_gion,KK-OSM-W174762077-S01,plateau_kyoto_2025_citygml_v5,193,193,0,2:193,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_arashiyama,arashiyama,kyoto-arashiyama:osm-way-000022727319:nodes-000243776548-001215761678,plateau_kyoto_2025_citygml_v5,12,11,1,2:12,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_arashiyama,arashiyama,kyoto-arashiyama:osm-way-000022727319:nodes-001215761678-003255952277,plateau_kyoto_2025_citygml_v5,8,7,1,2:8,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_arashiyama,arashiyama,kyoto-arashiyama:osm-way-000022727319:nodes-003255952277-003832838076,plateau_kyoto_2025_citygml_v5,12,11,1,2:12,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_arashiyama,arashiyama,kyoto-arashiyama:osm-way-000022727319:nodes-003832838076-014102818766,plateau_kyoto_2025_citygml_v5,6,6,0,2:6,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
kyoto_arashiyama,arashiyama,kyoto-arashiyama:osm-way-000022727319:nodes-013805963837-014102818766,plateau_kyoto_2025_citygml_v5,7,7,0,2:7,DERIVED_CANDIDATE_NOT_FROZEN_NOT_COMPUTED,true,true,lod0RoofEdge+lod1Solid(+lod2Solid),PACKAGE_COMPLETE_WITHIN_30M_BUFFER_REAL_WORLD_UNVERIFIED,false,"height_m candidates exist but setback_m, damage_state, debris_present, clear_width_m remain missing; no M7 call"
